complaint_type,date_year,ct_key
"HEAT/HOT WATER",2019,2
"Street Light Condition",2019,8
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"Street Light Condition",2019,8
"Street Light Condition",2019,8
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"Street Light Condition",2019,8
"Street Light Condition",2019,8
"HEAT/HOT WATER",2019,2
"Street Light Condition",2019,8
"Street Light Condition",2019,8
"Street Light Condition",2019,8
"Street Light Condition",2019,8
"Street Light Condition",2019,8
"Street Light Condition",2019,8
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"Street Light Condition",2019,8
"Street Light Condition",2019,8
"Street Light Condition",2019,8
"Street Light Condition",2019,8
"HEAT/HOT WATER",2019,2
"Street Condition",2019,7
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"UNSANITARY CONDITION",2019,9
"Noise - Vehicle",2019,6
"Blocked Driveway",2019,1
"Noise - Residential",2019,4
"Street Condition",2019,7
"Street Condition",2019,7
"Blocked Driveway",2019,1
"Blocked Driveway",2019,1
"Noise - Residential",2019,4
"Noise - Residential",2019,4
"Noise - Residential",2019,4
"Noise - Residential",2019,4
"Illegal Parking",2019,3
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"Blocked Driveway",2019,1
"Blocked Driveway",2019,1
"Illegal Parking",2019,3
"Illegal Parking",2019,3
"Illegal Parking",2019,3
"Illegal Parking",2019,3
"Blocked Driveway",2019,1
"HEAT/HOT WATER",2019,2
"Street Condition",2019,7
"Blocked Driveway",2019,1
"Noise - Residential",2019,4
"Blocked Driveway",2019,1
"Blocked Driveway",2019,1
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"Blocked Driveway",2019,1
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"Noise - Residential",2019,4
"Noise - Street/Sidewalk",2019,5
"Noise - Residential",2019,4
"Noise - Residential",2019,4
"Illegal Parking",2019,3
"Noise - Residential",2019,4
"UNSANITARY CONDITION",2019,9
"Illegal Parking",2019,3
"Noise - Street/Sidewalk",2019,5
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"Street Condition",2019,7
"Street Condition",2019,7
"Street Condition",2019,7
"Street Condition",2019,7
"Street Condition",2019,7
"Street Condition",2019,7
"Street Condition",2019,7
"Street Condition",2019,7
"Street Condition",2019,7
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"Blocked Driveway",2019,1
"Blocked Driveway",2019,1
"Noise - Street/Sidewalk",2019,5
"Noise - Residential",2019,4
"Noise - Street/Sidewalk",2019,5
"Noise - Residential",2019,4
"Noise - Residential",2019,4
"Noise - Residential",2019,4
"Noise - Vehicle",2019,6
"Noise - Residential",2019,4
"Street Condition",2019,7
"HEAT/HOT WATER",2019,2
"Noise - Street/Sidewalk",2019,5
"Noise - Street/Sidewalk",2019,5
"Illegal Parking",2019,3
"Street Condition",2019,7
"Street Condition",2019,7
"Street Condition",2019,7
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"Blocked Driveway",2019,1
"Street Condition",2019,7
"Street Condition",2019,7
"HEAT/HOT WATER",2019,2
"UNSANITARY CONDITION",2019,9
"UNSANITARY CONDITION",2019,9
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"Water System",2019,10
"HEAT/HOT WATER",2019,2
"Water System",2019,10
"Water System",2019,10
"Water System",2019,10
"Water System",2019,10
"Street Light Condition",2019,8
"Street Light Condition",2019,8
"Street Light Condition",2019,8
"Street Light Condition",2019,8
"Water System",2019,10
"Water System",2019,10
"Water System",2019,10
"Water System",2019,10
"Water System",2019,10
"Street Condition",2019,7
"Noise - Street/Sidewalk",2019,5
"Illegal Parking",2019,3
"Illegal Parking",2019,3
"Noise - Street/Sidewalk",2019,5
"Blocked Driveway",2019,1
"Noise - Residential",2019,4
"Noise - Residential",2019,4
"Noise - Vehicle",2019,6
"Noise - Residential",2019,4
"Blocked Driveway",2019,1
"Blocked Driveway",2019,1
"Blocked Driveway",2019,1
"Blocked Driveway",2019,1
"Blocked Driveway",2019,1
"Noise - Residential",2019,4
"Illegal Parking",2019,3
"Noise - Vehicle",2019,6
"Illegal Parking",2019,3
"Illegal Parking",2019,3
"HEAT/HOT WATER",2019,2
"Noise - Residential",2019,4
"Blocked Driveway",2019,1
"Noise - Residential",2019,4
"Blocked Driveway",2019,1
"Noise - Vehicle",2019,6
"Noise - Residential",2019,4
"Blocked Driveway",2019,1
"Blocked Driveway",2019,1
"HEAT/HOT WATER",2019,2
"Blocked Driveway",2019,1
"Blocked Driveway",2019,1
"Illegal Parking",2019,3
"Blocked Driveway",2019,1
"Noise - Residential",2019,4
"HEAT/HOT WATER",2019,2
"Illegal Parking",2019,3
"Illegal Parking",2019,3
"Blocked Driveway",2019,1
"Blocked Driveway",2019,1
"Noise - Vehicle",2019,6
"Blocked Driveway",2019,1
"Blocked Driveway",2019,1
"Blocked Driveway",2019,1
"Blocked Driveway",2019,1
"Noise - Vehicle",2019,6
"Blocked Driveway",2019,1
"Blocked Driveway",2019,1
"Noise - Residential",2019,4
"Illegal Parking",2019,3
"Blocked Driveway",2019,1
"Blocked Driveway",2019,1
"Illegal Parking",2019,3
"Illegal Parking",2019,3
"Noise - Residential",2019,4
"Illegal Parking",2019,3
"Illegal Parking",2019,3
"Blocked Driveway",2019,1
"Illegal Parking",2019,3
"Illegal Parking",2019,3
"Illegal Parking",2019,3
"Noise - Street/Sidewalk",2019,5
"Noise - Street/Sidewalk",2019,5
"Illegal Parking",2019,3
"Illegal Parking",2019,3
"Illegal Parking",2019,3
"Noise - Residential",2019,4
"Noise - Residential",2019,4
"Illegal Parking",2019,3
"HEAT/HOT WATER",2019,2
"Street Condition",2019,7
"Street Condition",2019,7
"Blocked Driveway",2019,1
"Blocked Driveway",2019,1
"Blocked Driveway",2019,1
"Blocked Driveway",2019,1
"Blocked Driveway",2019,1
"Blocked Driveway",2019,1
"Noise - Residential",2019,4
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"Blocked Driveway",2019,1
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"Street Light Condition",2019,8
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"Noise - Street/Sidewalk",2019,5
"Illegal Parking",2019,3
"Noise - Residential",2019,4
"Illegal Parking",2019,3
"Noise - Residential",2019,4
"Noise - Residential",2019,4
"Noise - Residential",2019,4
"Noise - Vehicle",2019,6
"Noise - Vehicle",2019,6
"Noise - Residential",2019,4
"Blocked Driveway",2019,1
"Blocked Driveway",2019,1
"Noise - Residential",2019,4
"Noise - Residential",2019,4
"Noise - Residential",2019,4
"Street Condition",2019,7
"Street Condition",2019,7
"Blocked Driveway",2019,1
"Illegal Parking",2019,3
"Illegal Parking",2019,3
"Noise - Street/Sidewalk",2019,5
"Blocked Driveway",2019,1
"Street Condition",2019,7
"Street Condition",2019,7
"Blocked Driveway",2019,1
"Blocked Driveway",2019,1
"Blocked Driveway",2019,1
"Blocked Driveway",2019,1
"Illegal Parking",2019,3
"Noise - Residential",2019,4
"Street Condition",2019,7
"Illegal Parking",2019,3
"Illegal Parking",2019,3
"Illegal Parking",2019,3
"Blocked Driveway",2019,1
"Blocked Driveway",2019,1
"Noise - Residential",2019,4
"Illegal Parking",2019,3
"Illegal Parking",2019,3
"Noise - Residential",2019,4
"Illegal Parking",2019,3
"Illegal Parking",2019,3
"Noise - Residential",2019,4
"Noise - Residential",2019,4
"Blocked Driveway",2019,1
"Illegal Parking",2019,3
"Blocked Driveway",2019,1
"Street Condition",2019,7
"Street Condition",2019,7
"Illegal Parking",2019,3
"Blocked Driveway",2019,1
"Blocked Driveway",2019,1
"Noise - Residential",2019,4
"Noise - Street/Sidewalk",2019,5
"Noise - Residential",2019,4
"Illegal Parking",2019,3
"Blocked Driveway",2019,1
"Blocked Driveway",2019,1
"Illegal Parking",2019,3
"Noise - Vehicle",2019,6
"Noise - Vehicle",2019,6
"Noise - Residential",2019,4
"Noise - Residential",2019,4
"Blocked Driveway",2019,1
"Blocked Driveway",2019,1
"Illegal Parking",2019,3
"Illegal Parking",2019,3
"Illegal Parking",2019,3
"Illegal Parking",2019,3
"Noise - Residential",2019,4
"Noise - Residential",2019,4
"Water System",2019,10
"Noise - Vehicle",2019,6
"Water System",2019,10
"Water System",2019,10
"Water System",2019,10
"Water System",2019,10
"Water System",2019,10
"Water System",2019,10
"Noise - Residential",2019,4
"Noise - Residential",2019,4
"Illegal Parking",2019,3
"Illegal Parking",2019,3
"Water System",2019,10
"Water System",2019,10
"Water System",2019,10
"Water System",2019,10
"Water System",2019,10
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"Street Condition",2019,7
"HEAT/HOT WATER",2019,2
"Street Condition",2019,7
"Street Condition",2019,7
"Street Condition",2019,7
"Street Condition",2019,7
"Street Condition",2019,7
"Street Condition",2019,7
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"Street Light Condition",2019,8
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"Street Condition",2019,7
"Street Condition",2019,7
"Street Condition",2019,7
"Street Condition",2019,7
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"Street Condition",2019,7
"Street Condition",2019,7
"Street Condition",2019,7
"Street Condition",2019,7
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"Street Light Condition",2019,8
"Street Light Condition",2019,8
"Street Condition",2019,7
"Street Condition",2019,7
"Street Condition",2019,7
"Street Condition",2019,7
"Street Condition",2019,7
"Street Condition",2019,7
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"Street Condition",2019,7
"Street Condition",2019,7
"Street Light Condition",2019,8
"Street Condition",2019,7
"Street Condition",2019,7
"Street Condition",2019,7
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"Street Condition",2019,7
"Street Condition",2019,7
"Street Light Condition",2019,8
"Street Light Condition",2019,8
"Street Condition",2019,7
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"Street Light Condition",2019,8
"Street Light Condition",2019,8
"Street Light Condition",2019,8
"Street Light Condition",2019,8
"Street Light Condition",2019,8
"Street Light Condition",2019,8
"Street Light Condition",2019,8
"Street Light Condition",2019,8
"Street Light Condition",2019,8
"Blocked Driveway",2019,1
"Noise - Residential",2019,4
"Illegal Parking",2019,3
"Noise - Residential",2019,4
"Blocked Driveway",2019,1
"Blocked Driveway",2019,1
"Blocked Driveway",2019,1
"Noise - Residential",2019,4
"Illegal Parking",2019,3
"Illegal Parking",2019,3
"Illegal Parking",2019,3
"Illegal Parking",2019,3
"Noise - Street/Sidewalk",2019,5
"Street Condition",2019,7
"Street Condition",2019,7
"Noise - Residential",2019,4
"Street Condition",2019,7
"Blocked Driveway",2019,1
"Noise - Street/Sidewalk",2019,5
"Noise - Street/Sidewalk",2019,5
"Noise - Residential",2019,4
"Illegal Parking",2019,3
"Blocked Driveway",2019,1
"Blocked Driveway",2019,1
"Illegal Parking",2019,3
"Noise - Residential",2019,4
"Illegal Parking",2019,3
"Illegal Parking",2019,3
"Illegal Parking",2019,3
"Water System",2019,10
"Water System",2019,10
"Noise - Residential",2019,4
"Noise - Residential",2019,4
"Noise - Street/Sidewalk",2019,5
"Noise - Residential",2019,4
"Illegal Parking",2019,3
"Illegal Parking",2019,3
"Illegal Parking",2019,3
"Illegal Parking",2019,3
"Blocked Driveway",2019,1
"Noise - Residential",2019,4
"Noise - Street/Sidewalk",2019,5
"Noise - Residential",2019,4
"Illegal Parking",2019,3
"Noise - Street/Sidewalk",2019,5
"Noise - Residential",2019,4
"Blocked Driveway",2019,1
"Blocked Driveway",2019,1
"Noise - Residential",2019,4
"Noise - Residential",2019,4
"Blocked Driveway",2019,1
"Street Condition",2019,7
"Blocked Driveway",2019,1
"Street Condition",2019,7
"Blocked Driveway",2019,1
"Blocked Driveway",2019,1
"Blocked Driveway",2019,1
"Blocked Driveway",2019,1
"Blocked Driveway",2019,1
"Blocked Driveway",2019,1
"Street Condition",2019,7
"Street Condition",2019,7
"Noise - Residential",2019,4
"Noise - Residential",2019,4
"Illegal Parking",2019,3
"Water System",2019,10
"Water System",2019,10
"Noise - Residential",2019,4
"Illegal Parking",2019,3
"Illegal Parking",2019,3
"Noise - Residential",2019,4
"Street Condition",2019,7
"Blocked Driveway",2019,1
"Noise - Residential",2019,4
"Illegal Parking",2019,3
"Noise - Residential",2019,4
"Noise - Street/Sidewalk",2019,5
"Noise - Residential",2019,4
"Noise - Residential",2019,4
"Noise - Residential",2019,4
"Illegal Parking",2019,3
"Illegal Parking",2019,3
"Blocked Driveway",2019,1
"Noise - Street/Sidewalk",2019,5
"Noise - Street/Sidewalk",2019,5
"Noise - Residential",2019,4
"Illegal Parking",2019,3
"Illegal Parking",2019,3
"Blocked Driveway",2019,1
"Illegal Parking",2019,3
"Illegal Parking",2019,3
"Blocked Driveway",2019,1
"Blocked Driveway",2019,1
"Blocked Driveway",2019,1
"Noise - Residential",2019,4
"Illegal Parking",2019,3
"Illegal Parking",2019,3
"HEAT/HOT WATER",2019,2
"Blocked Driveway",2019,1
"Blocked Driveway",2019,1
"Noise - Residential",2019,4
"Illegal Parking",2019,3
"Blocked Driveway",2019,1
"Blocked Driveway",2019,1
"Illegal Parking",2019,3
"Noise - Residential",2019,4
"Noise - Residential",2019,4
"Blocked Driveway",2019,1
"HEAT/HOT WATER",2019,2
"Noise - Residential",2019,4
"Blocked Driveway",2019,1
"Blocked Driveway",2019,1
"Blocked Driveway",2019,1
"Noise - Street/Sidewalk",2019,5
"Noise - Street/Sidewalk",2019,5
"Illegal Parking",2019,3
"Noise - Residential",2019,4
"Illegal Parking",2019,3
"Noise - Residential",2019,4
"Noise - Street/Sidewalk",2019,5
"Street Light Condition",2019,8
"Street Light Condition",2019,8
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"UNSANITARY CONDITION",2019,9
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"Street Light Condition",2019,8
"Street Light Condition",2019,8
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"Noise - Residential",2019,4
"Illegal Parking",2019,3
"Illegal Parking",2019,3
"Blocked Driveway",2019,1
"Noise - Residential",2019,4
"Noise - Residential",2019,4
"Illegal Parking",2019,3
"Illegal Parking",2019,3
"Noise - Residential",2019,4
"Blocked Driveway",2019,1
"Illegal Parking",2019,3
"Illegal Parking",2019,3
"Illegal Parking",2019,3
"Illegal Parking",2019,3
"Noise - Residential",2019,4
"Noise - Residential",2019,4
"Blocked Driveway",2019,1
"Blocked Driveway",2019,1
"Blocked Driveway",2019,1
"Blocked Driveway",2019,1
"Street Condition",2019,7
"Illegal Parking",2019,3
"Noise - Vehicle",2019,6
"Blocked Driveway",2019,1
"Street Condition",2019,7
"Street Condition",2019,7
"Noise - Residential",2019,4
"Illegal Parking",2019,3
"Blocked Driveway",2019,1
"Blocked Driveway",2019,1
"Blocked Driveway",2019,1
"Blocked Driveway",2019,1
"Blocked Driveway",2019,1
"Noise - Street/Sidewalk",2019,5
"Noise - Residential",2019,4
"Illegal Parking",2019,3
"Blocked Driveway",2019,1
"Blocked Driveway",2019,1
"Noise - Residential",2019,4
"Illegal Parking",2019,3
"Street Condition",2019,7
"Noise - Residential",2019,4
"Noise - Residential",2019,4
"Noise - Residential",2019,4
"Noise - Residential",2019,4
"Blocked Driveway",2019,1
"Blocked Driveway",2019,1
"Noise - Street/Sidewalk",2019,5
"Noise - Residential",2019,4
"Noise - Residential",2019,4
"Illegal Parking",2019,3
"Illegal Parking",2019,3
"Illegal Parking",2019,3
"Blocked Driveway",2019,1
"Illegal Parking",2019,3
"Illegal Parking",2019,3
"Blocked Driveway",2019,1
"Blocked Driveway",2019,1
"Noise - Residential",2019,4
"Noise - Residential",2019,4
"Noise - Street/Sidewalk",2019,5
"Noise - Residential",2019,4
"Noise - Residential",2019,4
"Noise - Residential",2019,4
"Noise - Residential",2019,4
"Noise - Residential",2019,4
"Blocked Driveway",2019,1
"Noise - Residential",2019,4
"Noise - Residential",2019,4
"Noise - Residential",2019,4
"Noise - Residential",2019,4
"Noise - Residential",2019,4
"Noise - Residential",2019,4
"Illegal Parking",2019,3
"Illegal Parking",2019,3
"Noise - Residential",2019,4
"Noise - Residential",2019,4
"Noise - Street/Sidewalk",2019,5
"Noise - Residential",2019,4
"Water System",2019,10
"Water System",2019,10
"Water System",2019,10
"Illegal Parking",2019,3
"Illegal Parking",2019,3
"Water System",2019,10
"Water System",2019,10
"Water System",2019,10
"Water System",2019,10
"Noise - Residential",2019,4
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"Water System",2019,10
"HEAT/HOT WATER",2019,2
"Street Condition",2019,7
"Water System",2019,10
"Water System",2019,10
"HEAT/HOT WATER",2019,2
"Street Condition",2019,7
"Street Condition",2019,7
"Street Condition",2019,7
"Street Condition",2019,7
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"Street Condition",2019,7
"Street Condition",2019,7
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"Street Condition",2019,7
"Street Condition",2019,7
"Street Condition",2019,7
"Street Condition",2019,7
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"UNSANITARY CONDITION",2019,9
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"Water System",2019,10
"Water System",2019,10
"Street Condition",2019,7
"Street Condition",2019,7
"Street Condition",2019,7
"Street Condition",2019,7
"Street Condition",2019,7
"Street Condition",2019,7
"Street Condition",2019,7
"Street Condition",2019,7
"Street Condition",2019,7
"Street Condition",2019,7
"Street Condition",2019,7
"Street Condition",2019,7
"Street Condition",2019,7
"Street Condition",2019,7
"Water System",2019,10
"Water System",2019,10
"Water System",2019,10
"Street Condition",2019,7
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"Street Condition",2019,7
"Street Condition",2019,7
"Street Condition",2019,7
"Street Condition",2019,7
"Street Condition",2019,7
"Street Condition",2019,7
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"Street Condition",2019,7
"Street Condition",2019,7
"Street Condition",2019,7
"Street Condition",2019,7
"HEAT/HOT WATER",2019,2
"Street Condition",2019,7
"Street Condition",2019,7
"Street Condition",2019,7
"Street Condition",2019,7
"Street Condition",2019,7
"HEAT/HOT WATER",2019,2
"Street Condition",2019,7
"Street Condition",2019,7
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"Street Light Condition",2019,8
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"UNSANITARY CONDITION",2019,9
"HEAT/HOT WATER",2019,2
"Street Light Condition",2019,8
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"Street Light Condition",2019,8
"Street Light Condition",2019,8
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"Street Light Condition",2019,8
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"Street Light Condition",2019,8
"Street Light Condition",2019,8
"Street Light Condition",2019,8
"Street Light Condition",2019,8
"Street Light Condition",2019,8
"Street Light Condition",2019,8
"Street Light Condition",2019,8
"Street Light Condition",2019,8
"Street Light Condition",2019,8
"Street Light Condition",2019,8
"Street Light Condition",2019,8
"Street Light Condition",2019,8
"Street Light Condition",2019,8
"Illegal Parking",2019,3
"Illegal Parking",2019,3
"Street Condition",2019,7
"Illegal Parking",2019,3
"Illegal Parking",2019,3
"Illegal Parking",2019,3
"Blocked Driveway",2019,1
"Blocked Driveway",2019,1
"Blocked Driveway",2019,1
"Illegal Parking",2019,3
"Blocked Driveway",2019,1
"Blocked Driveway",2019,1
"Illegal Parking",2019,3
"Noise - Street/Sidewalk",2019,5
"Noise - Residential",2019,4
"Blocked Driveway",2019,1
"Illegal Parking",2019,3
"Illegal Parking",2019,3
"Noise - Residential",2019,4
"Noise - Street/Sidewalk",2019,5
"Blocked Driveway",2019,1
"Blocked Driveway",2019,1
"Blocked Driveway",2019,1
"Street Light Condition",2019,8
"Street Light Condition",2019,8
"Street Light Condition",2019,8
"Street Light Condition",2019,8
"Blocked Driveway",2019,1
"Illegal Parking",2019,3
"Illegal Parking",2019,3
"Illegal Parking",2019,3
"Noise - Residential",2019,4
"Illegal Parking",2019,3
"Illegal Parking",2019,3
"Illegal Parking",2019,3
"Blocked Driveway",2019,1
"Street Condition",2019,7
"Blocked Driveway",2019,1
"Blocked Driveway",2019,1
"Noise - Residential",2019,4
"Noise - Residential",2019,4
"Illegal Parking",2019,3
"Illegal Parking",2019,3
"Street Condition",2019,7
"Noise - Residential",2019,4
"Blocked Driveway",2019,1
"Noise - Residential",2019,4
"Street Condition",2019,7
"Noise - Residential",2019,4
"Noise - Residential",2019,4
"Illegal Parking",2019,3
"Noise - Residential",2019,4
"Noise - Residential",2019,4
"Noise - Residential",2019,4
"Blocked Driveway",2019,1
"Blocked Driveway",2019,1
"Noise - Residential",2019,4
"Blocked Driveway",2019,1
"Illegal Parking",2019,3
"Water System",2019,10
"Water System",2019,10
"Water System",2019,10
"Water System",2019,10
"Water System",2019,10
"Water System",2019,10
"Water System",2019,10
"Street Condition",2019,7
"Noise - Residential",2019,4
"Illegal Parking",2019,3
"Illegal Parking",2019,3
"Illegal Parking",2019,3
"Illegal Parking",2019,3
"Noise - Residential",2019,4
"Illegal Parking",2019,3
"Noise - Residential",2019,4
"Blocked Driveway",2019,1
"Noise - Residential",2019,4
"Illegal Parking",2019,3
"Blocked Driveway",2019,1
"Noise - Residential",2019,4
"Noise - Residential",2019,4
"Blocked Driveway",2019,1
"Blocked Driveway",2019,1
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"Illegal Parking",2019,3
"Illegal Parking",2019,3
"Noise - Residential",2019,4
"Noise - Residential",2019,4
"Street Condition",2019,7
"Illegal Parking",2019,3
"Illegal Parking",2019,3
"Illegal Parking",2019,3
"Noise - Residential",2019,4
"Illegal Parking",2019,3
"Noise - Residential",2019,4
"Noise - Residential",2019,4
"Illegal Parking",2019,3
"Illegal Parking",2019,3
"Noise - Residential",2019,4
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"Noise - Residential",2019,4
"Noise - Residential",2019,4
"Noise - Residential",2019,4
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"Blocked Driveway",2019,1
"Blocked Driveway",2019,1
"Noise - Residential",2019,4
"Noise - Residential",2019,4
"Street Condition",2019,7
"Illegal Parking",2019,3
"Illegal Parking",2019,3
"Street Condition",2019,7
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"HEAT/HOT WATER",2019,2
"Blocked Driveway",2019,1
"Blocked Driveway",2019,1
"Noise - Residential",2019,4
"Illegal Parking",2019,3
"Illegal Parking",2019,3
"Noise - Street/Sidewalk",2019,5
"Blocked Driveway",2019,1
"Blocked Driveway",2019,1
"Blocked Driveway",2019,1
"Blocked Driveway",2019,1
"Blocked Driveway",2019,1
"Street Condition",2019,7
"Noise - Vehicle",2019,6
"Blocked Driveway",2019,1
"Blocked Driveway",2019,1
"Blocked Driveway",2019,1
"Noise - Residential",2019,4
"HEAT/HOT WATER",2019,2
"Blocked Driveway",2019,1
"Blocked Driveway",2019,1
"Noise - Street/Sidewalk",2019,5
"Illegal Parking",2019,3
"Noise - Street/Sidewalk",2019,5
"HEAT/HOT WATER",2019,2
"Blocked Driveway",2019,1
"Blocked Driveway",2019,1
"Noise - Residential",2019,4
"Noise - Residential",2019,4
"Street Light Condition",2019,8
